,Deposit,DepositGroup,DepositType,Country,Region,Lat,Lon,Age_Ma,Age_Error_Ma,Age_Method,Age_Confidence,Ore_Tonnage_Mt,Cu_Grade_Percent,Cu_Tonnage_Mt,Tectonic_Setting,Source,References,Notes,Recon_Age_Ma,Age_Mod_Flag,Plate_ID
10,Mount Watson,SedCu,Shale-hosted copper ± cobalt,Australia,Queensland,-19.77,139.89,1688.0,5.0,Age of host succession,2.0,11.6,0.75,0.087,,Huston_2024,https://portal.ga.gov.au; Jackson et al. (2005); Godsmark et al. (2017); Jackson et al. (2005),"Cited primary age is that of the host Surprise Creek Formation (Jackson et al., 2005). Godsmark et al. (2017) indicate that ""primary copper mineralisation is observed as early pre- to syn-diagenetic disseminations and various structural styles of mineralisation"", so that it is possible that there are several periods of mineralisation and remobilisation, or that the mineralisation is epigenetic, in which case the inferred age is incorrect. Hence the age is given a low level of certainty. Endowment includes past production and resources as of 30 June 2017.",1688.0,0,801
11,Murrays Reward,SedCu,Shale-hosted copper ± cobalt,Australia,Tasmania,-41.27,144.9,,,,4.0,0.5,0.8,0.004,,Huston_2024,Green et al. (2014); Taheri and Bottrill (2004); Black et al. (2005); Green et al. (2014); ; Green et al. (2014),"Endowment includes pre-JORC mineral resource only (Green et al. 2014). The origin of this deposit is not well determined. Following Taheri and Bottrill (2004), it is interpreted as a (possibly) remobilised shale-hosted copper deposit, in which case the deposit would be of Mesoproterozoic or Neoproterozoic age. Alternatively, the deposit is genetically related to the Interview Granite, which has an age of 362.4 ± 1.9 Ma (Black et al., 2005). If this is true the granite age would be the best estimate of the age of mineralisation.",0.0,1,850
12,Nifty,SedCu,Shale-hosted copper ± cobalt,Australia,Western Australia,-21.66,121.57,822.0,23.0,Ore-related mineral,4.0,127.2,1.16,1.4799,,Huston_2024,https://portal.ga.gov.au; Blockley and Myers (1990); Anderson et al. (2001); Maidment et al. (2017); Porter (2017c); Huston et al. (2020a); Blockley and Myers (1990); Huston et al. (2020a); Porter (2017c); Cyprium Metals Limited,"Cited age is supported by an apatite Sm-Nd isochron age of 791 ± 42 Ma (Huston et al., 2020a) and a galena Pb model age of ca 875 Ma (Blockley and Myers, 1990). Endowment includes production (Porter, 2017c) and mineral resources (Cyprium Metals Limited, 2022).",822.0,0,801
13,North Portia,SedCu,Shale-hosted copper ± cobalt,Australia,South Australia,-31.43,140.45,1615.0,,Ore mineral,4.0,13.0,0.78,0.1014,,Huston_2024,https://portal.ga.gov.au; Williams and Skirrow (2000); Giles and Just (2017); Williams and Skirrow (2000); Havilah Resources Limited (2018),"Cited age is midpoint of age range (1616-1614 Ma) cited by Williams and Skirrow (2000). No uncertainties were provided in reference. Endowment includes mineral resources only. It includes an oxide inferred resources of 0.49Mt at 1.17 g/t Au, a supergene resources at 3.856Mt at 0.73% Cu, 0.51 g/t Au, 154 ppm Co and 275 ppm Mo, and a primary sulphide resource of 8.61Mt at 0.85 % Cu, 0.6 g/t Au and 452 ppm Mo.",1615.0,0,801
14,Rum Jungle Creek South,SedCu,Shale-hosted copper ± cobalt,Australia,Northern Territory,-13.04,131.0,1627.0,,Regional correlation,2.0,0.7,,,,Huston_2024,https://portal.ga.gov.au; Ahmad et al. (2006); Ahmad and Hollis (2013); Johansen and Johnstone (2017); ; Ahmad et al. (2006),Endowment includes production only.,1627.0,0,801
15,Strickland,SedCu,Shale-hosted copper ± cobalt,Australia,Tasmania,-41.23,144.73,1284.0,33.0,Ore-related mineral,4.0,,,,,Huston_2024,Huston et al. (2019); Armistead et al. (2024); Huston et al. (2019); Armistead et al. (2024),"Deposit type tentatively assigned as shale-hosted copper, but is very uncertain. Unusually old age (for Tasmania) initially indicated by Stacey and Kramer (1975) model age of ca 1279 Ma (Huston et al., 2019).",600.0,0,850
16,Sweet Nell,SedCu,Shale-hosted copper ± cobalt,Australia,South Australia,-31.68,137.16,,,,,0.4,1.2,0.0042,,Huston_2024,https://portal.ga.gov.au; Knutson et al. (1983); Lambert et al. (1987); Tonkin and Creelman (1990); Huston and Connolly (2011); ; Huston and Connolly (2011),Endowment includes indicated and inferred resources,0.0,1,801
17,Walford Creek,SedCu,Shale-hosted copper ± cobalt,Australia,Queensland,-17.78,138.27,1575.0,,Ore mineral,3.0,40.9,0.74,0.3022,,Huston_2024,https://portal.ga.gov.au; Sun et al. (1996a); Rohrlach et al. (1998); Carr et al. (2001); Aeon Metals Limited (2019); Valenta (2020b); Sun et al. (1996a); Carr et al. (2001); Aeon Metals Limited (2019),"Lead isotope model age calculated using CSIRO-AGSO North Australia model (Sun et al., 1996a) using least radiogenic analysis of Carr et al. (2001). Endowment includes mineral resources from December 2019 (Aeon Metals, 2019); the deposit has not been previously mined. Texturally the base metal sulfides and associated pyrite overprint early syn-/diagenetic pyrite and marcasite, with even stratiform sphalerite filling intergranular porosity in the host siltstone. Marcasite also occurs late in the paragenetic sequence.",1575.0,0,801
18,Whites,SedCu,Shale-hosted copper ± cobalt,Australia,Northern Territory,-12.99,131.01,1627.0,,Regional correlation,2.0,0.7,2.74,0.019,,Huston_2024,https://portal.ga.gov.au; Ahmad et al. (2006); Ahmad and Hollis (2013); Johansen and Johnstone (2017); ; Ahmad et al. (2006),Endowment includes production only.,1627.0,0,801
19,Myall (Corvette and Kingswood),Porphyry,,Australia,New South Wales,-32.44,148.04,,,,,110.0,0.27,0.297,,Huston_2024,Magmatic Resources Limited (2023); Magmatic Resources Limited (2023); ; Magmatic Resources Limited (2023),Cited location is in a higher grade zone of the Corvette zone and the approximate centroid of the combined extent of the combined mineralised zone. Insufficient data are available to infer the type (alkalic vs calc-alkalic) or the age of mineralisation.,0.0,1,801
20,Boda,Porphyry,Alkalic porphyry copper,Australia,New South Wales,-32.42,149.02,438.0,,Regional correlation,3.0,583.0,0.18,1.0494,,Huston_2024,"Alkane Resources Limited (2024); Alkane Resources Limited (2020a, 2023b); ; Alkane Resources Limited (2023b)",Cited location is approximated centre of resource outline. Cited age is by analogy with other porphyry Cu-Au deposits in the Macquarie Arc.,438.0,0,801
21,Cadia East-Cadia Far East,Porphyry,Alkalic porphyry copper,Australia,New South Wales,-33.46,149.01,441.8,1.4,Ore mineral,5.0,3055.1,0.26,7.9655,,Huston_2024,Wilson et al. (2007); Holliday et a. (2002); Forster et al. (2004); Squire and Crawford (2007); Wilson et al. (2007); Porter (2017f); Squire and Crawford (2007); Wilson et al. (2007); Porter (2017f),"Cited location is the approximate centre of surface project of Cadia East orebody. Cited age slightly older, but within error of the U-Pb age of the Cadia Far-East Monzonite (437 ± 4 Ma: Squire and Crawford, 2007). Endowment includes production to and mineral resources at 31 December 2016 (Porter, 2017f). Note that the alteration assemblages are described spatially in the lower mineralised zone but temporally in the upper mineralised zone.",441.8,0,801
22,Cadia Hill-Cadia Quarry,Porphyry,Alkalic porphyry copper,Australia,New South Wales,-33.46,148.99,450.7,1.1,Ore mineral,5.0,986.4,0.18,1.7895,,Huston_2024,Wilson et al. (2007); Holliday et a. (2002); Forster et al. (2004); Wilson et al. (2007); Porter (2017f); Wilson et al. (2007); Porter (2017f),"Cited location is the approximate centre of surface project of orebody. The cited primary mineralising age (Wilson et al., 2007) is the average of two overlapping ages from sample NCO83-035; a third replicate analysis of this samples was excluded as the age (466.6 ± 1.5 Ma) was older than and outside of error of the age (456.4 ± 5.1 Ma; 453.4 ± 4.3 Ma) of the quartz monzonite hosting the molybdenite-bearing vein. Another older age (459.7 ± 1.4 Ma) was excluded because it is slightly older, although within error of the age of this host. The cited age for the overprinting hydrothermal event is that of sample NC486-487 and is similar to the age determined for Cadia East (Wilson et al., 2007). The molybdenite Re-Os ages cited are slightly older than, but within error of zircon U-Pb ages of the interpreted causative intrusions. Endowment includes production to June 2012 and mineral resources at 31 December 2016 attributed to ""other"" by Porter (2017f). Although ""other"" is mainly Cadia Hill and Cadia Quarry, it includes resources from Big Cadia.",450.7,0,801
23,Cullingerai,Porphyry,Alkalic porphyry copper,Australia,New South Wales,-34.21,147.39,438.0,,District correlation,3.0,24.0,0.3,0.072,,Huston_2024,Cronin et al. (2017); Downes et al. (2004b); Cronin et al. (2017); Sandfire Resources NL (2017); ; Sandfire Resources NL (2017),Age correlation is with the Mandamah prospect. Endowment includes mineral resources only.,438.0,0,801
24,Estoril,Porphyry,Alkalic porphyry copper,Australia,New South Wales,-34.24,147.41,438.0,,District correlation,3.0,14.0,0.21,0.0294,,Huston_2024,Cronin et al. (2017); Downes et al. (2004b); Cronin et al. (2017); Sandfire Resources NL (2017); ; Sandfire Resources NL (2017),Age correlation is with the Mandamah prospect. Endowment includes mineral resources only.,438.0,0,801
25,Kaiser,Porphyry,Alkalic porphyry copper,Australia,New South Wales,-32.41,149.02,438.0,,Regional correlation,3.0,213.0,0.2,0.426,,Huston_2024,Alkane Resources Limited (2024); Alkane Resources Limited (2024); ; Alkane Resources Limited (2024),Cited location is approximated centre of resource outline. Cited age is by analogy with other porphyry Cu-Au deposits in the Macquarie Arc.,438.0,0,801
26,Mandamah,Porphyry,Alkalic porphyry copper,Australia,New South Wales,-34.18,147.39,436.0,3.0,Age of associated magmatic rock,4.0,26.0,0.34,0.0884,,Huston_2024,Cronin et al. (2017); Munro (2010); Cronin et al. (2017); Sandfire Resources NL (2017); Cronin et al. (2017); Sandfire Resources NL (2017),"The cited age is supported by similar zircon SHRIMP U-Pb ages for other intrusion rocks in Temora district and by a molybdenite Re-Os model age of 438.0 ± 1.4 Ma from the Yiddah prospect ~20 km north of Mandamah. It is also consistent with the ~436 Ma age reported at Gidginbung, 20 km to the south (Lawrie et al., 2007). Endowment includes mineral resources only.",436.0,0,801
27,"Northparkes district (including Endeavour 22 (EN22), Endeavour 26 (EN 26), Endeavour 27 (EN 27), Endeavour 48 (EN 48), and GRP314)",Porphyry,Alkalic porphyry copper,Australia,New South Wales,-32.92,148.0,438.3,1.6,Ore mineral,5.0,,,4.3,,Huston_2024,"Owens et al. (2017); Perkins et al. (1990, 1995); Butera et al. (2001); Lickford et al. (2003, 2007); Owens et al. (2017); Pacey et al. (2019); Wells et al. (2021); Perkins et al. (1990, 1995); Butera et al. (2001); Lickford et al. (2003, 2007); Wells et al. (2021); Owens et al. (2017)","The cited location is that of Owens et al. (2017) for the district. Cited age is the average of two molybdenite Re-Os analyses from the E 27 and E 48 and deposits: Wells et al., 2021), and is supported by numerous other ages (40Ar-39Ar of alteration minerals and U-Pb zircon of related intrusions) of between 441 and 437 Ma (Perkins et al., 1990, 1995; Butera et al., 2001; Lickfold et al., 2003, 2007). Endowment is the sum of production to December 2016 (0.9 Mt Cu and 1.2 Moz Au) and mineral resources (481.52 Mt and 0.56% Cu and 0.18 g/t Au) and mineral reserves (121.17 Mt at 0.58% Cu and 0.22 g/t Au) as of 31 December 2016 (resources reported exclusive of reserves) as reported in Owens et al. (2017). The resulting endowment is significantly larger that the endowment reported by Owens et al. (2017) in their text, which does not include past production.",438.3,0,801
28,Ridgeway,Porphyry,Alkalic porphyry copper,Australia,New South Wales,-33.44,148.97,455.8,4.4,Age of associated magmatic rock,4.0,227.7,0.43,0.9771,,Huston_2024,"Wilson et al. (2007); Holliday et al. (2002); Forster et al. (2004); Wilson et al. (2003, 2007); Porter (2017f); Wilson et al. (2007); Porter (2017f)","Cited location is the approximate centre of surface project of orebody. Endowment includes production to March 2016 and mineral resources at 31 December 2016 (Porter, 2017f).",455.8,0,801
29,The Dam,Porphyry,Alkalic porphyry copper,Australia,New South Wales,-34.33,147.47,438.0,,District correlation,3.0,41.0,0.3,0.1234,,Huston_2024,Cronin et al. (2017); Downes et al. (2004b); Cronin et al. (2017); Sandfire Resources NL (2017); ; Sandfire Resources NL (2017),Age correlation is with the Mandamah prospect. Endowment includes mineral resources only.,438.0,0,801
30,Yiddah,Porphyry,Alkalic porphyry copper,Australia,New South Wales,-34.05,147.34,438.0,1.4,Ore mineral,5.0,127.0,0.32,0.4064,,Huston_2024,Cronin et al. (2017); Downes et al. (2004b); Munro (2010); Cronin et al. (2017); Sandfire Resources NL (2017); Munro (2010); Sandfire Resources NL (2017),Endowment includes mineral resources only.,438.0,0,801
31,Bindi,Porphyry,Calc-alkalic porphyry copper,Australia,Western Australia,-30.97,116.61,2976.0,,District correlation,2.0,1015.7,0.23,2.3361,,Huston_2024,"Caravel Minerals Limited (2023); Caravel Minerals Limited (2016); ; Caravel Minerals Limited (2016, 2023)",Cited age is that of the Dasher prospect. Endowment includes mineral resources as of November 2023) at a cutoff grade of 0.10% Cu.,2976.0,0,801
32,Boddington-Wandoo,Porphyry,Calc-alkalic porphyry copper,Australia,Western Australia,-32.75,116.35,2707.0,13.0,Ore mineral,5.0,1014.0,0.1,0.969,,Huston_2024,Porter (2017a); McCuaig et al. (2001); Stein et al. (2001); Porter (2017a); McCuaig et al. (2001); Stein et al. (2001); Porter (2017a),"The age of the earliest porphyry Cu-Au deposit is an isochron (assuming zero point) molybdenite Re-Os age of 2707 ± 17 Ma, which is consistent with the weighted average Re-Os model age (from four analyses) of 2707 ± 13 Ma. The cited age of the second, overprinting mineralising event, which is interpreted as the main event, is the ""most rigorous estimate"" (McCuaig et al., 2001). This age does not assume a zero point. If a zero point is assumed, the isochron age is 2623 ± 26 Ma. The most precise individual molybdenite age is 2615 ± 9 Ma. All ages for the second event overlap with the 2612 ± 3 Ma (SHRIMP zircon U-Pb) age of the unmineralised Wourahming monzogranite. Endowment includes the sum of production to 2001 and 2009 resources prior to re-opening in a 2009 pre-mining resources estimate. Porter (2017a) cite a lower total metal endowment (e.g. 725 t Au) as he considered metal recoveries in making estimate.",2707.0,0,801
33,Cargo,Porphyry,Calc-alkalic porphyry copper,Australia,New South Wales,-33.43,148.8,469.0,,Age of associated magmatic rock,2.0,,,0.054,,Huston_2024,https://www.mindat.org/loc-227886.html (accessed March 2024); Richardson et al. (1983); Torrey and White (1998); David and Timms (2018); David and Timms (2018); Richardson et al. (1983); David and Timms (2018),"Cited age is an unqualified age of the associated intrusive suite provided by David and Timms (2015). Endowment includes production of 318 kg Au and 10 t Cu (1870-1904: David and Timms, 2018), a pre-JORC copper mineral resource of 27 Mt grading 0.2% Cu (Richardson et al., 1983) and a JORC 2012-compliant mineral resource of 4.0 Mt grading 1.19 g/t in the peripheral Dalcoath and Spur deposits (David and Timms, 2018).",469.0,0,801
34,Coalstoun Lakes,Porphyry,Calc-alkalic porphyry copper,Australia,Queensland,-25.64,151.85,231.5,0.9,Ore mineral,5.0,26.9,0.38,0.1022,,Huston_2024,ActivEX Limited (2016); Ashley et al. (1978); ActivEX Limited (2016); activex.com.au (accessed September 2020); activex.com.au (accessed September 2020); ActivEX Limited (2016),"Cited location is the centre of the surface extent of the primary zone. The supergene zones extends further to the north. The deposit is interpreted as a calc-alkalic porphyry copper deposit based on geochemical diagrams provided by D Purdy (Geological Survey of Queensland, pers. comm., 2020) showing the composition of the nearby Mongore Granite. Cited molybdenite age was reported on activex.com.au but not formally published. Endowment includes JORC2012-compliant mineral resources.",231.5,0,801
35,Copper Hill,Porphyry,Calc-alkalic porphyry copper,Australia,New South Wales,-33.05,148.87,449.1,1.5,Age of associated magmatic rock,4.0,87.0,0.36,0.3132,,Huston_2024,https://www.mindat.org/loc-291682.html (accessed March 2024); Scott (1978); Perkins et al. (1995); Blevin (2002); Scott and Torrey (2003); Cooke et al. (2007); Golden Cross Resources Limited (2015); Hayward et al. (2015); Perkins et al. (1995); Golden Cross Resources Limited (2015),"The cited age is the age magmatic hornblende from associated tonalitic intrusion (Perkins et al., 1995). It is supported by a zircon U-Pb age of 450 ± 6 Ma (Perkins et al., 1995). Endowment includes mineral resources only calculated using a 0.2% Cu cutoff grade (Golden Cross Resources Limited, 2015), but excludes 3300 t of supergene ore of unspecified grade produced between 1845 and 1851 (Scott and Torrey, 2003). If a 0.4% cutoff grade is used, total resources are 28 Mt grading 0.56% Cu and 0.53 g/t Au. Minor gypsum is associated with laumontite in late stage veins, but not reported in hypogene copper mineralisation.",449.1,0,801
36,Dasher,Porphyry,Calc-alkalic porphyry copper,Australia,Western Australia,-31.03,116.62,2976.0,17.0,Ore mineral,5.0,239.1,0.35,0.8369,,Huston_2024,"Caravel Minerals Limited (2023); Caravel Minerals Limited (2016); Outhwaite (2018); Caravel Minerals Limited (2016, 2023)",Cited age is the mean of two repeat molybdenite model ages (2977 ± 20 Ma and 2975 ± 27 Ma: Tessalina (2016) in Outhwaite (2018)) with the uncertainty the estimated by adding the two individual uncertainties in quadrature. Endowment includes mineral resources as of November 2023) at a cutoff grade of 0.10% Cu.,2976.0,0,801
37,Double Bull Creek,Porphyry,Calc-alkalic porphyry copper,Australia,Victoria,-37.58,148.3,,,,,2.0,0.3,0.006,,Huston_2024,Rajagopalan (1999); Rajagopalan (1999); Campbell et al. (2003); Mantle Mining Corporation Limited (2014); ; Campbell et al. (2003),"Endowment is a pre-JORC mineral resource (Campbell et al., 2003). The deposit is associated with the Double Bull Granodiorite, which has been assigned an age of Late Silurian to Early Devonian.",0.0,1,801
38,Endeavour 39 (E39),Porphyry,Calc-alkalic porphyry copper,Australia,New South Wales,-33.72,147.42,455.9,5.6,Age of mineralisation based on age of the host quartz diorite,5.0,,,,,Huston_2024,Zukowski (2010); Perkins et al. (1995); Zukowski (2010); Perkins et al. (1995); Bastrakov (2000),"Cited age is a 40Ar-39Ar plateau age of alteration sericite. Alternatively, Zukowski (2010) suggests an age of ~464 Ma based on the age of the nearby E43 prospect and other calc-alkaline deposits in the district, in which case the ~440 Ma age of Perkins et al. (1995) would represent a reset age or an age of overprinting mineralisation. This alternative interpretation is consistent with other calc-alkaline porphyry systems in the Macquarie Arc.",455.9,0,801
39,Endeavour 43 (E43),Porphyry,Calc-alkalic porphyry copper,Australia,New South Wales,-33.76,147.48,463.5,2.1,Ore mineral,5.0,,,,,Huston_2024,Zukowski (2010); Zukowski (2010); Zukowski (2010),,463.5,0,801
40,Marsden,Porphyry,Calc-alkalic porphyry copper,Australia,New South Wales,-33.74,147.54,467.0,2.0,Ore mineral,5.0,123.0,0.46,0.5657,,Huston_2024,https://portal.ga.gov.au; Leslie et al. (2017); Evolution Mining Limited (2018); Leslie et al. (2017); Evolution Mining Limited (2018),Endowment includes mineral resources only.,467.0,0,801
41,Mount Angelo South,Porphyry,Calc-alkalic porphyry copper,Australia,Western Australia,-18.44,127.49,1843.0,2.0,Geological relationships (see comments),3.0,114.0,0.2,0.228,,Huston_2024,Sewell (1999); Page et al. (1994); Sheppard et al. (1995); Sewell (1999); Page et al. (1994); Sewell (1999),"Cited age is that of the Koongie Park Formation, with which the host Angelo Microgranite is interpreted to be comagmatic. Cited endowment is a pre-JORC mineral resource of 144 Mt grading ³0.2% Cu.",1843.0,0,801
42,Opie,Porphyry,Calc-alkalic porphyry copper,Australia,Western Australia,-31.09,116.67,2976.0,,District correlation,2.0,21.5,0.38,0.0817,,Huston_2024,"Caravel Minerals Limited (2023); Caravel Minerals Limited (2016); ; Caravel Minerals Limited (2016, 2023)",Cited age is that of the Dasher prospect. Endowment includes mineral resources as of November 2023) at a cutoff grade of 0.10% Cu.,2976.0,0,801
43,Spinifex Ridge,Porphyry,Calc-alkalic porphyry copper,Australia,Western Australia,-20.89,120.11,3298.0,11.0,Ore mineral,5.0,1052.3,0.08,0.8018,,Huston_2024,Cummins and Cairns (2017); Thorpe in Williams (1999); Williams and Collins (1990); Barley et al. (2008); Cummins and Cairns (2017); Thorpe in Williams (1999); Barley et al. (2008); Cummins and Cairns (2017),"Cited age (Barley et al., 2008) is slightly younger than a TIMS U-Pb titanite age of 3319.0 ± 1.0 Ma for the associated granodiorite (Thorpe in Williams, 1999). The cited age is also supported by a second, similar molybdenite Re-Os age of 3284 ± 11 Ma (Barley et al., 2008). Endowment includes mineral resources only (Cummins and Cairns, 2017).",3298.0,0,801
44,Whitewash,Porphyry,Calc-alkalic porphyry copper,Australia,Queensland,-24.81,150.87,244.3,1.2,Ore mineral,5.0,242.0,0.117,0.2839,,Huston_2024,Huston et al. (2022); Bookstrom et al. (2010); I'ons and Goody (2010); Aussie Q Resources (2011); Purdy (2013); Huston et al. (2022); Huston et al. (2022); Aussie Q Resources (2011),"The deposit is interpreted as a calc-alkalic porphyry copper deposit based on geochemical diagrams provided by D Purdy (Geological Survey of Queensland, pers. comm., 2020) showing the composition of the Wingfield Suite, which hosts the deposit. Endowment includes mineral resources only.",244.3,0,801
45,Yeoval,Porphyry,Calc-alkalic porphyry copper,Australia,New South Wales,-32.73,148.64,409.0,2.0,Age of associated magmatic rock,3.0,12.8,0.38,0.0486,,Huston_2024,Ardea Resources Limited (2019a); Gulson and Bofinger (1972); Ambler and Facer (1975); Cooke (1985); Downes (1999); Wyborn et al. (1999); Ardea Resources Limited (2019a); Gulson and Bofinger (1972); Wyborn et al. (1999); Ardea Resources Limited (2019a),"Cited location is approximate centre of deposit. This location is between the two main mineralised zones. Cited age (Gulson and Bofinger, 1972) has been corrected using current decay constants (Wyborn et al., 1999). Endowment includes mineral resources only (Ardea Resources Limited, 2019a). The Rb-Sr age cited has been calculated using the decay constant of Villa et al. (2015).",409.0,0,801
46,Anthony,Porphyry,Porphyry molybdenum,Australia,Queensland,-22.31,147.28,309.8,1.5,Ore mineral,5.0,114.0,,,,Huston_2024,Huston et al. (2022); Zamia Metals Limited (2012); Huston et al. (2022); Huston et al. (2022); Zamia Metals Limited (2012),Cited location is that analysed by Huston et al. (20220). Endowment includes mineral resources only.,309.8,0,801
